COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
acetaminophen	4 day	Low	595	12.9	37.9	63.7	21.7	34.1	4.8	107.2	89.7	18	5	0	5	71	11.4	17.2	219	730	98	212	206	0.27	0	211	18	0.4	141	5.5	104	10.8	7.8	6.2	3.5	1.3	57	40	72	1
acetaminophen	4 day	Low	538	11.6	34.3	63.7	21.5	33.8	8.5	116.6	14.2	27	1	0	8	64	11.5	15.9	221	1305	88	90	158	0.29	0.05	205	19	0.4	143	4.6	106	11.1	7.7	5.7	3.2	1.3	63	30	114	2
acetaminophen	4 day	Low	562	12	35.7	63.5	21.4	33.7	6.3	109.8	41.8	20	1	0	8	71	11.3	15.6	229	1333	92	197	194	0.32	0.02	198	19	0.4	141	5.7	102	10.9	10.1	6.2	3.8	1.6	60	34	84	3
acetaminophen	4 day	Low	615	13.5	40.2	65.4	21.9	33.5	6.9	116.9	10	13	2	0	10	75	11.1	15.8	253	914	75	82	138	0.28	0.01	181	17	0.3	143	5.2	104	10.7	9.3	6.1	3.7	1.5	56	34	83	1
acetaminophen	4 day	Low	635	13.1	39.4	62	20.5	33.1	6.4	123.7	44.8	23	1	0	5	71	11.3	14.6	274	971	99	46	172	0.28	0.02	203	17	0.3	143	5.4	105	11	10.6	5.9	3.6	1.6	58	33	69	1
acetaminophen	8 day	Low	614	13.2	38.5	62.6	21.5	34.4	5.8	125.8	8.7	17	2	0	10	72	11.5	15.2	242	689	75	160	166	0.19	0.02	186	19	0.4	144	5.5	104	10.6	8.3	6.1	3.5	1.4	69	31	140	1
acetaminophen	8 day	Low	619	13.2	39.1	63.2	21.3	33.7	8.1	118.7	39.7	11	1	0	6	82	11.7	16.4	252	920	75	175	180	0.25	0	220	19	0.5	143	4.3	104	11	8.2	6.3	3.9	1.6	56	32	260	1
acetaminophen	8 day	Low	568	13.1	38.3	67.4	23	34.1	8.1	113.8	49	30	2	0	9	59	11.4	16.8	241	665	104	41	179	0.22	0.05	197	15	0.3	142	5.3	104	10.8	9.5	5.8	3.5	1.5	50	26	88	2
acetaminophen	8 day	Low	635	13.7	40.8	64.2	21.6	33.6	7.4	130.1	62	21	1	0	4	74	11.3	15	256	757	79	41	192	0.21	0.01	174	17	0.3	145	5.1	102	11.3	9.1	5.5	3.4	1.6	51	33	117	1
acetaminophen	8 day	Low	627	14	41.6	66.4	22.3	33.7	7.3	120.2	34.9	11	1	0	6	82	11.6	15.8	257	1035	67	101	178	0.19	0.01	215	17	0.3	143	5.5	103	11	10.1	5.9	3.7	1.7	58	33	86	1
acetaminophen	15 day	Low	629	13.8	40.5	64.4	21.9	34	5.5	130.3	33.8	19	1	0	9	72	11.1	13.4	233	773	62	219	165	0.22	0.03	210	21	0.4	143	4.8	104	10.2	8.3	6.2	3.7	1.5	67	37	220	1
acetaminophen	15 day	Low	681	14.3	42.1	61.8	21	34	4.6	108.6	86.5	7	1	0	3	89	11.4	16.1	236	645	66	177	155	0.27	0.04	193	19	0.3	142	5.3	106	10.5	7	6.4	3.8	1.5	55	22	226	1
acetaminophen	15 day	Low	605	13.7	40.2	66.5	22.7	34.2	5.6	132.6	27.6	23	1	0	4	73	11.3	15.1	262	744	68	213	163	0.21	0.06	199	17	0.5	144	5	105	10.9	7.7	5.9	3.6	1.6	55	34	128	4
